Field=#~Integer~#~50|Field=ComponentLink1Description~String~ComponentLink1Description~75|Field=ComponentLink1URL~String~ComponentLink1URL~75|Field=Description~String~Description~201|Field=Designator~String~Designator~135|Field=Digikey Part No~String~Digikey Part No~44|Field=Digikey Part Number~String~Digikey Part Number~44|Field=Manufacturer~String~Manufacturer~44|Field=Manufacturer Part Number~String~Manufacturer Part Number~44|Field=Quantity~Integer~Quantity~44|Field=Value~String~Value~44|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Robonauts.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Robonauts\Robonauts.PrjPcb|ReportField=Title~Bill of Materials For Project [Robonauts.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~120|ReportField=ReportTime~12:04:29|ReportField=ReportDate~06-04-2017|ReportField=ReportDateTime~06-04-2017 12:04:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~06-04-2017|ReportField=CurrentTime~12:00:54|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Robonauts\ATSAMB11.SchDoc|ReportField=DocumentName~ATSAMB11.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~06-04-2017|ReportField=Organization~|ReportField=ProjectName~Robonauts.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Robonauts.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Robonauts\Robonauts.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|||Socket|J1, MTP1, MTP2, MTP3, MTP4, MTP5, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP16|||||20|
12||http://www.yuden.co.jp/productdata/catalog/en/mlci01_e.pdf, https://product.tdk.com/info/en/catalog/datasheets/inductor_commercial_decoupling_mlz1608_en.pdf|FIXED IND 3.3UH 30MA 1.3 OHM SMD, FIXED IND 4.7UH 350MA 500 MOHM|L1, L2|587-1584-1-ND, 445-6390-1-ND||Taiyo Yuden, TDK Corporation|LK16083R3K-T, MLZ1608M4R7WT000|2|3.3uH, 4.7uH
13|Datasheet|http://www.murata.com/en-global/products/productdata/8796733767710/S0580E.pdf|FERRITE BEAD 1 KOHM 0805 1LN|L3|490-1047-1-ND||Murata Electronics North America|BLM21BD102SN1D|1|1kohm @ 100 MHz
14|link|http://www.mouser.com/ProductDetail/Silicon-Labs/EFM32LG980F256G-E-QFP100/?qs=sGAEpiMZZMuoKKEcg8mMKOIXatb8SC9JzN0ocJGBCFebEz30rQzUmA%3d%3d|ARM Microcontrollers - MCU 256k Flash 32k RAM USB 8x34 LCD AES|LG1|||Silicon Labs|EFM32LG980F256G-E-QFP100|1|
15|link|http://www.mouser.com/ProductDetail/Atmel/ATSAMB11-MR210CA/?qs=ma0NyvTRVt1T4DTX%252bAca0w==|Bluetooth / 802.15.1 Modules Chip Antenna UFL connector MU-T|M2|||Microchip Technology/Atmel|ATSAMB11-MR210CA|1|
16|LINK|https://www.digikey.com/products/en/integrated-circuits-ics/logic-signal-switches-multiplexers-decoders/743?k=tca9548a&k=&pkeyword=tca9548a&pv7=2&pv1291=24&FV=ffe002e7&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25|IC I2C SW 8CH W/RESET 24TSSOP|Mul1||296-34905-1-ND|Texas Instruments|TCA9548APWR|1|
17|Datasheet|http://www.linear.com/docs/27893|IC SWITCH POWER MANAGER 20-QFN|P1|TC4160EUDC#PBF-ND||Linear Technology|LTC4160EUDC#PBF|1|
18|Datasheet|http://www.linear.com/docs/1489|IC REG BOOST ADJ 2A 8SOIC|P2|LT1308IS8#PBF-ND||Linear Technology|LT1308IS8#PBF|1|
19|Datasheet|http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en579712|V_REG MIC5219Standard 3.3V and 5V 500mA LDO voltage regulator in SOT-23 layout. Micrel part MIC5219. BP (by-pass) pinMIC5219-2.8YM5-TR|P3|576-2762-1-ND||Microchip Technology|MIC5219-2.8YM5-TR|1|
20|||Header, 6-Pin|PH1|||||1|
21|link|https://www.digikey.com/product-detail/en/vishay-siliconix/SI3442BDV-T1-E3/SI3442BDV-T1-E3CT-ND/1656865|MOSFET N-CH 20V 3A 6-TSOP|Q2, Q3, Q3|SI3442BDV-T1-E3CT-ND||Vishay Siliconix|SI3442BDV-T1-E3|3|
22|Datasheet|http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732, http://www.digikey.com/product-detail/en/yageo/RC0402JR-0710KL/311-10KJRCT-ND/729365, http://www.digikey.com/product-detail/en/yageo/RC0603FR-0710RL/311-10.0HRCT-ND/729826, http://www.digikey.com/product-detail/en/yageo/RC0603FR-0710RL/311-10.0HRCT-ND/729826, http://www.digikey.com/product-detail/en/yageo/RC0402FR-072K2L/311-2.20KLRCT-ND/729500, http://www.digikey.com/product-detail/en/yageo/RC0603FR-0710RL/311-10.0HRCT-ND/729826|RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 4.7K OHM 5% 1/10W 0603, RES SMD 10K OHM 5% 1/16W 0402, RES SMD 10 OHM 1% 1/10W 0603, RES SMD 10 OHM 1% 1/10W 0603, RES SMD 2.2K OHM 1% 1/16W 0402, RES SMD 10 OHM 1% 1/10W 0603|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R16, R26|311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-4.7KGRCT-ND, 311-10KJRCT-ND, 311-10.0HRCT-ND, 311-10.0HRCT-ND, 311-2.20KLRCT-ND, 311-10.0HRCT-ND||Yageo|RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0603JR-074K7L, RC0402JR-0710KL, RC0603FR-0710RL, RC0603FR-0710RL, RC0402FR-072K2L, RC0603FR-0710RL|15|4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 4.7K, 10K, 10, 10, 2.2K, 10
23|Datasheet|http://www.digikey.com/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732|RES SMD 4.7K OHM 5% 1/10W 0603|R14, R15|311-4.7KGRCT-ND||Yageo|RC0603JR-074K7L|2|4.7K
24|Datasheet|http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf|RES SMD 10K OHM 1% 1/10W 0603, RES SMD 6.2K OHM 1% 1/10W 0603, RES SMD 1K OHM 1% 1/10W 0603, RES SMD 3.01K OHM 1% 1/10W 0603, RES SMD 47K OHM 1% 1/10W 0603, RES SMD 10K OHM 1% 1/10W 0603, RES SMD 35.7K OHM 1% 1/10W 0603, RES SMD 11.3K OHM 1% 1/10W 0603, RES SMD 10K OHM 1% 1/10W 0603, RES SMD 47K OHM 1% 1/10W 0603|R17, R18, R19, R20, R21, R22, R23, R24, R25, R34|311-10.0KHRCT-ND, 311-6.20KHRCT-ND, 311-1.00KHRCT-ND, 311-3.01KHRCT-ND, 311-47.0KHRCT-ND, 311-10.0KHRCT-ND, 311-35.7KHRCT-ND, 311-11.3KHRCT-ND, 311-10.0KHRCT-ND, 311-47.0KHRCT-ND||Yageo|RC0603FR-0710KL, RC0603FR-076K2L, RC0603FR-071KL, RC0603FR-073K01L, RC0603FR-0747KL, RC0603FR-0710KL, RC0603FR-0735K7L, RC0603FR-0711K3L, RC0603FR-0710KL, RC0603FR-0747KL|10|10K, 6.2K, 1K, 3.01K, 47K, 10K, 35.7K, 11.3K, 3K, 0
25|Datasheet|https://media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/TL3315.pdf|SWITCH TACTILE SPST-NO 0.05A 15V|S1|EG4621CT-ND||E-Switch|TL3315NF160Q|1|
26|link|https://www.digikey.com/products/en/integrated-circuits-ics/pmic-gate-drivers/730?k=ltc1981&k=&pkeyword=ltc1981&pv7=2&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25|IC HI-SIDE SW CTRL SNGL TSOT23-5|S2|LTC1981ES5#TRMPBFCT-ND||Linear Technology|LTC1981ES5#TRMPBF|1|
27|link|https://www.digikey.com/product-detail/en/texas-instruments/TXS0104ERGYR/296-20698-1-ND/1143682|IC 4BIT NON-INV TRANSLTR 14-QFN|T1|296-20698-1-ND||Texas Instruments|TXS0104ERGYR|1|
28|link|https://www.digikey.com/product-detail/en/stmicroelectronics/VL6180XV0NR-1/497-14702-1-ND/4854910|MOD TIME-OF-FLIGHT 3IN1 12LGA|TOF|497-14702-1-ND||STMicroelectronics|VL6180XV0NR/1|1|
29|link|https://www.digikey.com/products/en/sensors-transducers/motion-sensors-accelerometers/515?k=mma8452Q&k=&pkeyword=mma8452Q&pv7=2&FV=ffe00203&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25|ACCELEROMETER 2-8G I2C 16QFN|U2|MMA8452QR1CT-ND||NXP USA Inc.|MMA8452QR1|1|
30|||Crystal Oscillator, CRYSTAL 32.7680KHZ 12.5PF SMD, CRYSTAL 32.7680KHZ 12.5PF SMD|Y1, Y2, Y3|||||3|[NoParam], [NoValue], 32.768kHz
